"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"794",1054.30612849361,1.0170982034474,0.34682249041989,2.93261893776273,0.00336116152686457,0.0326169688427983
"1.21",8.00269169044733,-6.01316783377325,1.60447520560379,-3.74774743341104,0.000178429787576248,0.0047747173245274
"335",539.223519504427,1.25668447071564,0.420562031527449,2.98810728622235,0.00280710996246015,0.0291809341138093
"0.99",7.48325461571311,-4.75693357167853,1.35274271767307,-3.51651020517871,0.000437259849326384,0.00875179312050779
"31.2",56.1880898532643,-2.00195757541733,0.617335401832337,-3.24290097323958,0.00118319327503907,0.0168081020006467
"846.1",1549.60934344056,-2.21561993698274,0.781461708151322,-2.83522521176906,0.00457933909731271,0.0396532202971725
"108",279.734524441829,-1.22272347107563,0.35623851122941,-3.43231692400663,0.000598447775402078,0.0107977571069258
"66",141.955228213881,-1.28629059382228,0.457980250967731,-2.80861585429567,0.0049754976567031,0.0417542663989531
"1622",1987.37350696164,2.00465000319502,0.696458142381548,2.87834958227366,0.00399761871968619,0.0363854958086773
"55",214.75649265837,-1.19526951950701,0.423543118018345,-2.82207281539454,0.00477143423216377,0.0406575225612447
"412",202.797468596483,1.62091012366143,0.577257045671025,2.8079520827281,0.0049857644775158,0.0418044786324454
"1.30",6.10680249545314,-4.37448837186211,1.54336696328508,-2.83437994717144,0.00459147060168601,0.0397132941083911
"25.1",29.6095831036365,1.86403002761018,0.651648944760302,2.86048192450589,0.00422997665609924,0.0376586947709995
"10",7.7589980697444,2.51722453195176,0.910607693267281,2.76433479594259,0.00570389820881887,0.0453609894096923
"11.2",9.36692112867953,3.45275326646485,0.921784792742569,3.74572600204429,0.000179872830445909,0.00479324489820177
"1205",1202.45768394084,1.19087001311115,0.430451633588734,2.76655939990913,0.00566512632350728,0.0452077086849376
"34",139.35011860508,-2.40738802308069,0.372024936055053,-6.47103941098302,9.73310418011762e-11,5.8019175077162e-08
"2.17",26.1755716955775,3.86257194336934,1.27177229840028,3.03715684657382,0.0023882115250363,0.0264305440197591
"58",28.835578015406,1.94635545871347,0.700034592586119,2.78037039787291,0.0054296928065365,0.0440174908048744
"22.3",14.9228457109392,1.98351990168813,0.715024677752781,2.77405796387623,0.00553618131813251,0.0445786579145334
"0.187",15.3920925875301,-3.73589155406479,1.06245983710423,-3.51626614352511,0.000437662026181611,0.00875558210062055
"19.2",41.9126299716233,-1.84538731370458,0.570528151773756,-3.23452455057183,0.00121845444738798,0.0172130034078864
"28.4",16.0188553132295,1.58061770273371,0.55514165780619,2.84723309898954,0.00441010574210943,0.0387258879758119
"7.14",15.6194818280723,-3.10285589676022,0.79383773818094,-3.90867774045404,9.28026579724771e-05,0.00300333751568504
"22.4",9.59021209802909,2.56759945289296,0.748090190293945,3.43220575033083,0.000598693165360928,0.0107977571069258
"27",9.42887468353457,2.85882331305301,0.85504749297834,3.34346727699888,0.000827384513344633,0.0133587469780346
"0.256",2.97598645809071,-4.94596351604615,1.58943853140635,-3.11176772068683,0.00185970762458115,0.022583889668334
"75.1",25.6818942213673,2.69490310182069,0.624374703320423,4.31616317491596,1.58764636571711e-05,0.000886044540954009
"98",186.942568342345,-1.32010314171297,0.35685489896966,-3.69927145605812,0.000216219244049644,0.0054495438119422
"46.1",24.9512185838958,1.81197725594975,0.548626199048546,3.30275378589678,0.000957404101599853,0.0146459849292296
"132.1",33.8055918640626,1.94824353966927,0.631223716630073,3.08645491026605,0.00202558665018916,0.0239753682040088
"621",150.39125085487,2.35706327316728,0.629596614958323,3.74376738560341,0.000181281492609714,0.00481050907905171
"145",68.3500921705544,2.06307104963647,0.434239740421759,4.75099549302578,2.02417644595501e-06,0.000179819441465606
"68.2",86.2640998776352,1.40102766146156,0.493280882655647,2.84022290488723,0.00450820201302885,0.0392770296542871
"0.384",8.45610286537948,-3.66700470373241,1.31485453641703,-2.78890523793224,0.0052886537068873,0.0434682044350381
"54.2",12.3336937716125,2.93606758701768,0.771235215267273,3.80696774329758,0.000140681086092726,0.00406916578908574
"18.3",11.3613692993612,2.20811149251847,0.767719470982135,2.87619576678661,0.00402499993555003,0.0365329077379622
"23.2",10.179238648532,3.27412641803015,0.85397945365031,3.83396392505111,0.000126094642423872,0.00376371461359673
"186",84.2881631363602,1.75186222173121,0.460080925283265,3.80772626174974,0.000140250397297391,0.00406242189523871
"34.3",168.850034128321,-1.70895665583188,0.473225050709328,-3.6112979506691,0.000304668395841162,0.00685034945387813
"804",244.457160846201,2.08856702610209,0.40965285869704,5.09838264706629,3.42567801890533e-07,4.50164736727141e-05
"3.30",10.5081112283374,-2.19042525222281,0.777196641390861,-2.81836685282486,0.00482686257004815,0.0409685687925404
"1.88",19.5591757996836,-3.34664836562,0.793374255086976,-4.2182467406295,2.46209309715106e-05,0.00120063206483728
"91",369.87429609483,-1.64819419861252,0.599910264842723,-2.74740122848976,0.00600695989159817,0.0468923872067846
"1616",1886.80222260689,0.889281586214727,0.304700748991505,2.91854086069057,0.00351673782021727,0.0335826362468035
"19.4",48.8071201790297,-2.4955524020272,0.672476684040367,-3.71098725242555,0.000206452501465808,0.00527428437129823
"65",236.393388245879,-1.28007904454799,0.440086235249177,-2.90870048190262,0.0036293438922143,0.0342617726946675
"0.468",4.87730656851216,-5.10692160701436,1.55052537324639,-3.29367174193469,0.000988879096903625,0.0149484331072877
"52.1",331.560037669139,-1.8707631922705,0.508868807979734,-3.67631728047477,0.000236625198241009,0.00580705908642657
"38.1",113.988464582772,-2.26916898292032,0.502825313013809,-4.51283760819337,6.39659987231629e-06,0.000450086126980014
